,id,text,datetime,authors,year_of_creation
27,107013,"весло откушенные пальцы 
талон к врачу и карту рек 
я осмотрел в музее раков 
и грек 
",2023-06-20 12:00:00,Ольга Ступина,Unknown
28,107012,"кричал мальчишка волки волки 
и мы не верили пока 
у всех в деревне не пропали 
бока 
",2023-06-19 12:00:00,икигаев,Unknown
29,107002,"бобры храбры и близоруки 
один простой советский бобр 
сгрызает в год до тыщи веток 
и кобр 
",2023-06-18 12:00:00,Олег Олег,2012
30,107001,"вот это жесть вот это жиза 
и сразу ясно что к чему 
бормочет шариков читая 
муму 
",2023-06-17 12:00:00,zrbvjd,2019
31,107000,"наверняка под толстой шкурой 
кошачья прячется душа 
подумал шарик бегемотов 
душа 
",2023-06-16 12:00:00,zhigaltcev,Unknown
32,106999,"допрашивает борменталя 
чекист по делу о враче 
на полиграфе полиграфо 
виче 
",2023-06-15 12:00:00,андро,Unknown
33,106998,"возможно я и не красавец 
но если тычете шприцом 
прошу иметь в виду что это 
лицо 
",2023-06-14 12:00:00,тодибо,Unknown
34,106996,"у опытного пациента 
своя подборочка врачей 
а вот патологоанатом 
ничей 
",2023-06-13 12:00:00,Niloff,Unknown
35,106989,"в больнице из медикаментов
остались только спирт и йод
и всё что нас не убивает
убьёт
",2023-06-12 16:46:10,H_N,Unknown
36,106988,"чтоб удалась картина с дубом
рисуем жёлудь под дождём
кружочек солнца в уголочке
и ждём
",2023-06-11 12:00:00,KadroviCHka72,2020
37,106987,"больной вы будете гордиться
ведь ваш четвёртый позвонок
в двери хирурга украшает
звонок
",2023-06-10 12:00:00,MirnyAtom,2020
38,106986,"кто ж так подушки поправляет
больной песочил племяша
но тот почти не слушал дядю
душа
",2023-06-09 12:00:00,froval,Unknown
39,106985,"лиса подумала что снова
старуха поскребла сусек
а это робеспьер дантона
усек
",2023-06-08 12:00:00,Нестер Пим,Unknown
40,106984,"я много думал о хорошем
и очень мало о плохом
сосредоточившись на белом
сухом
",2023-06-07 12:00:00,solo,Unknown
41,106983,"неандерталица оксана
связала варежки для стоп
ход эволюции поставив
на стоп
",2023-06-06 12:00:00,Niloff,Unknown
42,106982,"ходите лучше боком в профиль
и не показывайте фас
мой пёс его воспринимает
как фас
",2023-06-05 12:00:01,H_N,Unknown
43,106974,"ты не звонишь мне и не пишешь
рыдая не кричишь прости
и бесконечно так не может
везти
",2023-06-04 13:00:00,ВиЛюров,2020
44,106973,"в четвёртом акте у певицы
внезапно разошёлся рот
как жаль что в третьем разошёлся
народ
",2023-06-03 12:00:00,раз раз_,2020
45,106972,"вы нам без устали являли
недюжинный талант и стать
и мы вам дружно пожелали
устать
",2023-06-02 12:00:00,ВиЛюров,Unknown
46,106971,"практически не видно граждан
что населяют щёлково
лишь изредка увидишь в щёлку
ково
",2023-06-01 12:00:00,Niloff,Unknown
47,106969,"давайте петь велит царица
отведав крепкий алкоголь
но чуть подумав добавляет
и коль
",2023-05-31 12:00:00,dkrut,Unknown
48,106967,"а помнишь как орали цоя
и ты осип и я осип
а нынче только с днём рожденья
спасиб
",2023-05-30 12:00:00,H_N,Unknown
49,106966,"профессор плейшнер вышибает
оконный переплёт с ноги
а там уже бушует море
тайги
",2023-05-29 12:00:00,"АМ, кум",Unknown
50,106965,"катон пойдёшь из карфагена
увидишь слева мулен руж
так ты уж не сочти за службу
разрушь
",2023-05-28 12:00:00,Хм,2017
51,106957,"бывает затаишь обиду
запрячешь глубоко в груди
а как приспичит так попробуй
найди
",2023-05-27 12:00:00,кум,2018
52,106956,"хирурги бились три недели
любые способы ища
и наконец олега сняли
с клеща
",2023-05-26 12:00:00,Bartos,Unknown
53,106955,"микробы вылезли из принца
допили что не допито
а что ещё им делать в принци
пе то
",2023-05-25 12:00:00,masia,Unknown
54,106954,"У НАС ПРЕКРАСНЫЕ БЕРУШИ
ВАМ НЕ НАЙТИ ТАКИХ БЕРУШ
да что вы мне кричите в уши
беру ж
",2023-05-24 12:00:00,H_N,Unknown
55,106953,"давайте сделаем запруду
для водоплавающих гнид
но если вас конечно не за
пруднит
",2023-05-23 12:00:00,masia,Unknown
56,106952,"важней всего не перепутать
где тюбик с пастой где с едой
учил зелёных космонавтов
седой
",2023-05-22 12:00:01,zhigaltcev,Unknown
57,106944,"раздула бедная татьяна
письмо евгению в разы
а ведь набрасывала кратко
без зы
",2023-05-21 12:00:00,кум,2017
58,106943,"настанет день и невезучий
аркадий сядет в карусель
чтоб вечно ехать ехать ехать
отсель
",2023-05-20 12:00:00,zrbvjd,2016
59,106942,"страшней всего когда для акта
не подобрали реквизит
выходит ленский а онегин
с узи т-т-т-т-т-т-т-т-т-т-т-т-т-т-т-т-т-т-т
",2023-05-19 12:00:00,Вороныч,Unknown
60,106941,"учителя изо сказали
чтоб я не посещал иза
соображений гуманизма
из за
",2023-05-18 12:00:00,H_N,Unknown
61,106940,"мы облетели марс раз десять
но приземлиться не смогли
ввиду отсутствия на марсе
земли
",2023-05-17 12:00:00,ВиЛюров,Unknown
62,106939,"в тамбов в тамбов заладил мальчик
а залпом выпил весь кисель
и моментально потянуло
в брюссель
",2023-05-16 12:00:00,кум,Unknown
63,106938,"мне предсказали смерть на рельсах
и я избрал воздушный рейс
но боинг падает в итоге
на рельс
",2023-05-15 12:00:01,H_N,Unknown
64,106930,"летят беспечные кукушки
над кромкой лесополосы
в чужие сбрасывая гнёзда
часы
",2023-05-14 12:00:00,zub,2015
65,106929,"вениамин упившись вусмерть
скатился кубарем в неву
а я пока ещё упился
не ву
",2023-05-13 12:00:00,keylocker,2016
66,106927,"симсалабим сказал волшебник
распахивая старый кофр
и кролики оттуда в небо
легко фффррр
",2023-05-12 12:00:00,никакич,Unknown
67,106926,"что вам сказать про гибель мцыри
сначала я услышал рык
потом смотрю ногами кто то
дрыг дрыг
",2023-05-11 12:00:00,H_N,Unknown
68,106925,"настолько лживо в третьем акте
адэль сказала не прощу
что станиславский вынимает
пращу
",2023-05-10 12:00:00,FeelGood,Unknown
69,106923,"поймите ленский я не то чтоб
хотел вас вызвать на дуэль
но я дошёл по алфавиту
до эль
",2023-05-09 12:00:00,H_N,Unknown
70,106922,"в тот терем где живёт отрада
идёт чужой цветы неся
и тут я понял что отрадо
вался
",2023-05-08 12:00:01,FeelGood,Unknown
71,106914,"вы что за фрукт спросил геннадий
я чебоксар сказала тварь
категорично закрывая
словарь
",2023-05-07 12:00:00,тодибо,2020
72,106913,"след в след идут по снегу глебы
их путь и труден и нелеп
за ними белые медведи
глеб в глеб
",2023-05-06 12:00:00,masia,2020
73,106912,"озвучьте нам свои хотелки
сказали бабам мужики
а мы помножим их на наши
можки
",2023-05-05 12:00:00,Нестер Пим,Unknown
74,106910,"нельзя являться на дуэли
верхом на боевом слоне
онегин вы не окуели
оне...
",2023-05-04 12:00:00,Вороныч,Unknown
75,106908,"купил илья для похуденья
супруге велотренажор
но это только раскрутило
нажор
",2023-05-03 12:00:00,умба,Unknown
76,106907,"казалось бы ну вот же крылья
взлетаешь счастливо паришь
нет обязательно построят
париж
",2023-05-02 12:00:00,zhigaltcev,Unknown
77,106905,"дождусь тепла и выйду в поле
бежать по вереску и льну
а если встретится девица
прильну
",2023-05-01 12:00:02,FeelGood,Unknown
78,106896,"мне тренер предлагает спарринг
его хватаю за грудки
а у него там чёрный пояс
чулки
",2023-04-30 12:00:00,"Beatle, ДПС",2021
79,106895,"мои враги уже на небе
а я всё жду на берегу
беречь бы нервы но я не бе
регу
",2023-04-29 12:00:00,икигаев,2021
80,106894,"у них тяжёлая походка
их голос груб а вид надменн
таких зовут обычно галя
размен
",2023-04-28 12:00:00,FeelGood,Unknown
81,106893,"мне врач сказал что бормашину
ему оплатит профсоюз
теперь ещё и профсоюзов
боюс
",2023-04-27 12:00:00,masia,Unknown
82,106892,"приехал на велосипеде
и молча протянул букет
а я с утра не по погоде
и дед
",2023-04-26 12:00:00,"тодибо, сафо",Unknown
83,106891,"давай посадим помидоры
я встрепенулся а давай
и посадили помидоры
в трамвай
",2023-04-25 12:00:00,Пиль,Unknown
84,106890,"мы в кисегач сигали в детстве
но вот мелеет кисегач
и не выходит так как прежде
сигач
",2023-04-24 12:00:01,Вороныч,Unknown
85,106882,"ансамбыль ваш довольно грубо
воспроизводит звукоряд
тут понимаете ли трубы
горят
",2023-04-23 12:00:00,ЮГ,Unknown
86,106881,"бабульки булькали в джакузи
и от джакузиевых бульк
неотличимы были бульки
бабульк
",2023-04-22 12:00:00,YaP,2022
87,106880,"аркадий встав на табуретку
махнув сто грамм на посошок
внезапно вспомнил новогодний
стишок
",2023-04-21 12:00:00,Bartos,Unknown
88,106879,"я приобрёл себе пустырник
а ты его возьми да стырь
и я от горя принимаю
пустырь
",2023-04-20 12:00:00,H_N,Unknown
89,106877,"пойду советником к министру
как только оттрублю лицей
а не вот чтотоподсказатьвам
щицей
",2023-04-19 12:00:00,ленкова,Unknown
90,106876,"мы давеча с богатырями
курнули беломора но
он на поверку оказался
черно
",2023-04-18 12:00:00,H_N,Unknown
91,106875,"существовать в дешёвой норке
без слёз без жизни без котлет
дюймовочка приноровилась
крот нет
",2023-04-17 12:00:01,masia,Unknown
92,106867,"настала середина лета
а я попрежнему в пальто
известен в городе за это
зато
",2023-04-16 12:00:00,арчи бальчи,2016
93,106866,"да что ж ты вьёшься белый аист
да над моею головой
да я уверен что ребёнок
не мой
",2023-04-15 12:00:00,тры,2016
94,106865,"путь очищения был долог
дорога к свету непроста
зато теперь меня уносит
с полста
",2023-04-14 12:00:00,Мел,Unknown
95,106864,"страшней всего когда со сцены
уже убрали реквизит
и зритель вышел а иуда
висит
",2023-04-13 12:00:00,FeelGood,Unknown
96,106863,"жена аркадия бесила
когда в неё вселялся бес
а выселялся так бесила
и без
",2023-04-12 12:00:01,elvira,Unknown
97,106857,"могу играть сказала прима
невозрастные амплуа
и в доказательство завыла
уа
",2023-04-11 12:00:00,FeelGood,Unknown
98,106856,"на сцену в роли дездемоны
выходит прима из перми
и зритель радостно захлопал
дверьми
",2023-04-10 12:00:00,zhigaltcev,Unknown
99,106855,"по ленте мокрого бордюра
походкой лёгкою шли вы
так обаятельны и дура
шливы
",2023-04-09 12:00:02,Bartos,2019
100,106854,"олег настолько незаметно
и тихо жил в своём дворе
что в биографии хватило
тире
",2023-04-08 12:00:00,"Сафо, андро",2020
101,106852,"на пьесу вий в наш дом культуры
пришло соседнее село
и в сумме скинуло пятнадцать
кило
",2023-04-07 12:00:00,ВиЛюров,Unknown
102,106851,"страшней всего когда с размаху
на скалы жизнь тебя несёт
а у тебя пустырник форте
и всё
",2023-04-06 12:00:00,Ольга Ступина,Unknown
103,106850,"ты что тут бабушка скребёшься
здесь не амбар и не сусек
и как попала ты в торпедный
отсек
",2023-04-05 12:00:00,Слава,Unknown
104,106848,"вот брут заходит с двойниками
и цезарь понял что кранты
и ты и ты и ты и ты блядь
и ты
",2023-04-04 12:00:00,H_N,Unknown
105,106845,"графиня де ля фер сказала
позвольте граф начистоту
я интересная чудачка
с тату
",2023-04-03 12:00:01,Нестер Пим,Unknown
106,106837,"герасим почесал затылок
и отвалилась голова
а следом хлынули из горла
слова
",2023-04-02 12:00:00,тодибо,Unknown
107,106835,"поп наконец убил собаку
и закопав поставил крест
чему был рад весь девонширский
уезд
",2023-04-01 12:00:00,тодибо,Unknown
108,106834,"в подсобку магазина zara
заходят бритые братки
они наверное на зара
ботки
",2023-03-31 12:00:00,H_N,2019
109,106833,"в испуге чичиков отпрянул
коробочка обнажена
и располным что характерно
полна
",2023-03-30 12:00:00,H_N,2020
110,106832,"когда на сердце неспокойно
иду в бескрайние поля
и там вдыхаю полной грудью
шмеля
",2023-03-29 12:00:00,тры,2015
111,106831,"я чудо юдо молодое
а вы понурый ловелас
не понимаю как так вышло
за вас
",2023-03-28 12:00:00,"masia, metafola",2020
112,106830,"я лезу в спальню к сурикатам
они кричат цурюк цурюк
а у самих глаза размером
с урюк
",2023-03-27 12:00:01,masia,2020
113,106822,"сосед опять на саксофоне
играет в этакую рань
и это всё уже выходит
за брань
",2023-03-26 12:00:00,Bartos,2019
114,106821,"тебя я столько лет искала
среди житейской суеты
а ты распахиваешь в парке
польты
",2023-03-25 12:00:00,"сафо, СапсанOff",2016
115,106820,"хотелось бы конечно глянуть
на мир какой нибудь иной
но не такою же простите
ценой
",2023-03-24 12:00:00,"INNI, румянцев",2020
116,106819,"под грузом поднятым стрелою
ты по возможности не стой
и жить пятнадцать лет не стоит
не с той
",2023-03-23 12:00:00,seaL,2017
117,106818,"хоть вы аркадий и волчара
волчара и позорный мент
молю ещё разок из шнитке
фрагмент
",2023-03-22 12:00:00,seaL,2013
118,106816,"высоконравственность и честность
при виде левого бабла
никак не сходят у олега
с табла
",2023-03-21 12:00:00,seaL,2014
119,106815,"я солнценосная морковка
и выделяю каротин
не для таких как ты скотина
скотин
",2023-03-20 12:00:01,НиРо,2017
120,106805,"впросак не ходят пароходы
впросак не едут поезда
как я всё время попадаю
туда
",2023-03-19 12:00:00,Неусита,2016
121,106804,"когда нам говорят что женский
алкоголизм неизлечим
мы подливаем и тактично
молчим
",2023-03-18 12:00:01,"intelleon, boroda",2016
122,106801,"занемогли вы так некстати 
совсем испортив эту ночь 
вы не могли бы по другому 
не мочь 
",2023-03-17 17:00:00,МаринК,2016
123,106800,"так вот она моя погибель 
размахивал змеею князь 
змея стучала о дружину 
не гнясь
",2023-03-17 12:00:01,Нестер Пим,2020
124,106799,"она как бабушка из детства 
придёт заботлива добра 
погасит свет и скажет просто 
пора 
",2023-03-16 17:00:01,LP,2018
125,106798,"зайдёшь бывало в продуктовый
изголодавшись по еде
да так и рыскаешь глазами
иде
",2023-03-16 12:00:00,Нестер Пим,2013
126,106794,"так увлеклись что позабыли
из за чего пошёл сыр бор
а бог бесцельно сверху кинул
сыр в бор
",2023-03-15 17:00:01,"Мурка, B0JI",2018
127,106793,"судостроение шагнуло
заместо ветра нынче пар
и по билетам разрешают
без пар
",2023-03-15 12:00:00,Нестер Пим,2013
128,106792,"молчат мои доуэлянты 
не раскрывая рты пока 
я их несу на расстоянье 
плевка 
",2023-03-14 17:00:01,masia,Unknown
129,106790,"мы комитет по анаграммам
герр биттнер против ли вы за ль
бальзам ваш будет называться
бамзаль
",2023-03-14 12:00:00,Нестер Пим,2013
130,106788,"я воду вычерпал в колодце
остались только валуны
но ни в одном ведре нет полной
луны
",2023-03-13 17:00:00,volga,Unknown
131,106787,"с той ночи у меня при звуке
шагов инспектора гуфсин
не то что кожа даже голос
гусин
",2023-03-13 12:00:00,Нестер Пим,2018
132,106783,"я по ошибке вместо перца
в харчо добавила поташ
и хоть бы хны немного только
подташ
",2023-03-12 12:00:00,Нестер Пим,2018
133,106781,"нарезать кубиками свеклу
любой сушеф уметь должон
а то гляди ка взяли моду
ножом
",2023-03-11 12:00:00,Нестер Пим,2018
134,106780,"благополучно в светлом царстве
лишь из окошечка тюрьмы
с восходом солнца пробивался
луч тьмы
",2023-03-10 17:00:02,андро,Unknown
135,106777,"казак пускай бы и за дело
топить супругу не должон
а то ведь это будет полный
дон жон
",2023-03-10 12:00:01,Нестер Пим,2018
136,106772,"простите мне мой вид бурлацкий 
и то что медленно хожу 
а лучше просто отцепите 
баржу 
",2023-03-09 17:00:01,masia,Unknown
137,106771,"заведущего госкомстатом
господь не обделил детьми
их было между четырью и
пятьми
",2023-03-09 12:00:00,Нестер Пим,2018
138,106769,"наверно страшно в океане
плыть без ветрил и без руля
спросил мандела хейердала
соля
",2023-03-08 12:00:03,Нестер Пим,2018
139,106766,"с тех пор я вырос стал мудрее 
утратил пылкость и напор 
и вообще уже не помню 
тех пор 
",2023-03-07 17:00:01,zrbvjd,Unknown
140,106764,"кебабная неподалеку 
иваново невдалеке 
как выбрать если ты и бабник 
и ке
",2023-03-07 12:00:02,Нестер Пим,2018
141,106762,"я выдающийся ученый 
вы заурядные попы 
и что вы сделаете мне лю 
бопы
",2023-03-06 12:00:02,Нестер Пим,2018
142,106760,"обидно сдохнуть под забором
за безобидный милдронат
мне отойти б да разбежаться
я б над
",2023-03-05 12:00:00,Нестер Пим,2018
143,106759,"когда мы сели к самовару
плевавшемуся на столе
он перестал и оказался
стале
",2023-03-04 12:00:00,Нестер Пим,2018
144,106758,"вы обнажили ягодицы
и мне подставили под кнут
гляжу а там уже и пряник
воткнут
",2023-03-03 17:00:00,тодибо,Unknown
145,106757,"на автотранспорте на личном
сам от себя не убежишь
неважно красный мазерати
беж иж
",2023-03-03 12:00:00,Нестер Пим,2018
146,106753,"поднимем руки кто за то чтоб
всё повторять по два раза
теперь опустим и поднимем
кто за
",2023-03-02 12:00:00,Нестер Пим,2018
147,106752,"в наш городок вошли гусары
и раззадорены вельми
из окон барышни махали
дверьми
",2023-03-01 12:00:00,Нестер Пим,2018
148,106751,"пришли соседи с участковым
что говорят у вас за ор
кармина говорим бурана
карл орф
",2023-02-28 12:00:00,Нестер Пим,2018
149,106750,"съев молодильную селедку
не мог не похвалить засол
не знаю как кому мне лично
засол
",2023-02-27 17:00:00,Нестер Пим,Unknown
150,106749,"у вас тут надпись чай на вынос
а не найдется ли на внос
да ты смеешься надо мною
на в нос
",2023-02-27 12:00:01,Нестер Пим,2018
151,106740,"к туби так хочется порою
орноттуби не добавлять
а вместо этого добавить
лыблять
",2023-02-26 12:00:00,Нестер Пим,2018
152,106739,"с небес послышалось несчастный
ты продал душу сатане
талан засомневался фауст
та не
",2023-02-25 12:00:00,Нестер Пим,2018
153,106738,"я ездил в тверь и способ этот
надежней смею утверждать
чем дома сидя на диване
тверь ждать
",2023-02-24 12:00:00,Нестер Пим,2018
154,106737,"четыре древние старушки
ныряют с вышки в водоём
а после радостно кричат во
даём
",2023-02-23 17:00:01,Ольга Ступина,Unknown
155,106736,"дать право голоса животным
пустячный жест казалось бы
а все б ура синичка б вау
лось б ы
",2023-02-23 12:00:02,Нестер Пим,2018
156,106730,"все дарвину рукоплескали 
крича вот это да ого 
а припозднившиеся даже 
ного
",2023-02-22 12:00:02,Нестер Пим,2018
157,106728,"такая жизнь что и не знаешь
сажать ли нынче лук севок
или быть может ну пожалуй
ево к
",2023-02-21 17:00:00,zrbvjd,Unknown
158,106727,"плюясь и шаркая лаптями
ходок выходит из кремля
и говорит сюда я больше
не я
",2023-02-21 12:00:01,Нестер Пим,2018
159,106726,"в рассветный час мой питер бродит 
в тумане сизом и густом 
и скулы нестерпимо сводит 
мостом 
",2023-02-20 17:00:01,Nuta,Unknown
160,106723,"завелся в индивидуальном 
предпринимателе полип 
и в скором времени освоил 
пол ип
",2023-02-20 13:00:02,Нестер Пим,2018
161,106720,"пойдешь раз в месяц в кафетерий
гульнуть на выстраданный мрот
а там как раз с амандой пламмер
тим рот
",2023-02-19 12:00:01,Нестер Пим,2018
162,106718,"мой капитан по курсу особь
по форме это пеленгас
а по охвату территорий
ленгаз
",2023-02-18 12:09:33,Нестер Пим,2018
163,106715,"уж если грек посватал дочку 
желательно благословить 
а то недолго и маслину 
словить
",2023-02-17 12:00:02,Нестер Пим,2017
164,106713,"гляжу с тоскою на чащобу 
и правда много ли чащоб 
откуда ты выходишь с мыслью 
ещё б 
",2023-02-16 17:00:01,Nilpferd,Unknown
165,106712,"ты весь такой на позитиве 
идешь чутьчуть навеселе 
а я навстречу весь такой на 
зиле
",2023-02-16 12:00:03,Нестер Пим,2017
166,106709,"я конгрессмен из вашингтона 
не вы ли будете холмс ша 
у нас беда пропал важнейший 
холм сша
",2023-02-15 12:00:02,Нестер Пим,2017
167,106707,"в непринуждённом разговоре
не забывай что слово вот
вселенная воспринимает
как ввод
",2023-02-14 17:00:01,H_N,Unknown
168,106706,"поедешь лезут под колеса
пойдешь они тебе биби
откуда столько где гетеро
где би
",2023-02-14 12:00:01,Нестер Пим,2017
169,106703,"мы тамаду убить хотели 
воздушным шаром по башке 
но он сбежал от нас прыжками 
в мешке 
",2023-02-13 17:00:01,тодибо,Unknown
170,106702,"входи лисица будь как дома 
ответил заяц и никак 
не думал что лисица будет 
не как
",2023-02-13 12:00:01,Нестер Пим,2017
171,106699,"собкоры новостных изданий
суются в комнату собчак
но их выпинывает ейный
собчак
",2023-02-12 12:00:00,Нестер Пим,2017
172,106698,"я хищнически разорил вас
но погодите я ужо
передохну и разорю вас
чужо
",2023-02-11 12:00:00,Нестер Пим,2017
173,106697,"на газ нажала катерина 
с обрыва съехала к реке 
и прямо в волге утопилась 
в оке 
",2023-02-10 17:00:00,Ольга Ступина,Unknown
174,106696,"людям приспичило чтоб нонче ж
в земле схоронен был ильич
им вынесли а им возьми и
отспичь
",2023-02-10 12:00:00,Нестер Пим,2017
175,106695,"из покосившейся избушки 
выходит маленькая тьма 
и начинает хриплым басом 
звать ма 
",2023-02-09 17:00:00,икигаев,Unknown
176,106694,"похоже дедуктивный метод
нам с вами ничего не даст
применимте ка милый ватсон
не д а стр
",2023-02-09 12:00:00,Нестер Пим,2017
177,106693,"олег легко вошёл в топ список 
потенциальных женихов 
по совокупности соседских 
имхов 
",2023-02-08 17:00:01,solo,Unknown
178,106692,"мне тупо лень а все считают
что я разбит параличом
лежу себе и в хвост и в гриву
лечом
",2023-02-08 12:00:00,Нестер Пим,2017
179,106688,"нас свёл в заполненном трамвае
внезапно выехавший ваз
и я тогда поцеловался
об вас
",2023-02-07 18:23:19,H_N,Unknown
180,106687,"мы ехали гуськом по полю
на жеребцах донских пока
у нас цыгане не украли
гуська
",2023-02-07 12:00:00,Нестер Пим,2017
181,106686,"вот переводчик володарский
вот он берёт шарли эбдо
а вот он говорит какое
гобдо
",2023-02-06 17:00:01,Нестер Пим,Unknown
182,106685,"весь вечер в маске мистер икса
георг не ктонибудь а отс
смотрите вот он без страховки
а вот с
",2023-02-06 12:00:01,Нестер Пим,2017
183,106674,"вы крайний я за вами буду
сказала ты войдя в собес
а я ответил ты увидишь
я бес
",2023-02-05 12:00:00,Нестер Пим,2017
184,106673,"клянусь торжественно что буду
вам бро до гробовой доски
а если лгу то покарайте
по брски
",2023-02-04 12:00:00,Нестер Пим,2017
185,106672,"торчал унылый палсемёныч
двумя ногами из обой
в геленджике непредсказуем
прибой
",2023-02-03 17:00:00,"сафо, тодибо",Unknown
186,106671,"там лифта нет там тупо шахта
кричал гостиничный портье
и каждый раз ответом было
отъе
",2023-02-03 12:00:00,Нестер Пим,2017
187,106670,"не может мужа алевтина
себе найти ни тут ни там
а дело к сорока подходит
котам
",2023-02-02 17:00:00,Ольга Ступина,Unknown
188,106669,"муму гоняется кругами
за барынею по двору
герасим постит и комментит
ору
",2023-02-02 12:00:00,Нестер Пим,2017
189,106668,"догнать когонибудь зарезать
и навсегда залечь на дно
вот стиль серийного убийцы
одно
",2023-02-01 17:00:00,Нестер Пим,Unknown
190,106666,"начну здоровый образ жизни
куплю трико икс икс икс эль
тут и хана всем вашим брусьям
приэль
",2023-02-01 12:00:01,Нестер Пим,2017
191,106658,"олег учился на ачойтном 
придёт бывало на зачёт 
возьмёт билет и начинает 
а чойт 
",2023-01-31 17:00:00,НиРо,Unknown
192,106657,"я занял деньги гувернёру
подумать только гувернёр
и вдруг такой непунктуальный
вернёр
",2023-01-31 12:00:00,Нестер Пим,2017
193,106656,"как родион пришёл к старушке
так и не вышел до сих пор
сидят чаёвничают варят
топор
",2023-01-30 17:00:01,silakrыbak,Unknown
194,106655,"вот погружается титаник
вот сброд с пожитками в руках
а вот известные персоны
в кругах
",2023-01-30 12:00:02,Нестер Пим,2017
195,106650,"а бегемот мне должен денег
невнятно объяснил медведь
и как продолжил как продолжил
реветь
",2023-01-29 12:00:00,Нестер Пим,2017
196,106649,"гигантоман зашел в санузел
примерился на что бы сесть
и говорит ну хоть какойто
толк есть
",2023-01-28 12:00:00,Нестер Пим,2017
197,106648,"вначале выло и кричало
потом стонало и звало
и наконец таки сказало
алло
",2023-01-27 17:00:00,тодибо,Unknown
